State,Edu_Total:,Edu_10th grade,Edu_11th grade,"Edu_12th grade, no diploma",Edu_1st grade,Edu_2nd grade,Edu_3rd grade,Edu_4th grade,Edu_5th grade,Edu_6th grade,Edu_7th grade,Edu_8th grade,Edu_9th grade,Edu_Associate's degree,Edu_Bachelor's degree,Edu_Doctorate degree,Edu_GED or alternative credential,Edu_Kindergarten,Edu_Master's degree,Edu_No schooling completed,Edu_Nursery school,Edu_Professional school degree,Edu_Regular high school diploma,"Edu_Some college, 1 or more years, no degree","Edu_Some college, less than 1 year",Race_Total:,Race_American Indian and Alaska Native alone,Race_Asian alone,Race_Black or African American alone,Race_Native Hawaiian and Other Pacific Islander alone,Race_Some Other Race alone,Race_Two or More Races:,Race_White alone,"Race_Two races excluding Some Other Race, and three or more races",Race_Two races including Some Other Race,Emp_Total:,Emp_In labor force:,Emp_Not in labor force,Emp_Armed Forces,Emp_Civilian labor force:,Emp_Employed,Emp_Unemployed,Inc_Median household income in the past 12 months (in 2023 inflation-adjusted dollars),Pov_Total:,Pov_Income in the past 12 months at or above poverty level:,Pov_Income in the past 12 months below poverty level:,Pov_Female:,Pov_Male:,Pov_12 to 14 years,Pov_15 years,Pov_16 and 17 years,Pov_18 to 24 years,Pov_25 to 34 years,Pov_35 to 44 years,Pov_45 to 54 years,Pov_5 years,Pov_55 to 64 years,Pov_6 to 11 years,Pov_65 to 74 years,Pov_75 years and over,Pov_Under 5 years,state_abbr,total_police_killings,Population,killings_per_100k
Alabama,"3,498,967","67,401","76,400","68,378",714,667,"2,895","2,444","2,260","12,592","11,747","32,466","46,093","321,748","616,025","45,497","179,821",191,"284,788","54,581","1,073","64,530","872,733","496,329","237,594","5,108,468","24,491","77,445","1,298,757","2,645","116,209","284,980","3,303,941","158,827","126,153","4,115,279","2,410,315","1,704,964","16,315","2,394,000","2,297,941","96,059","62,212","4,960,839","4,187,673","773,166","442,311","330,855","17,909","7,751","12,268","42,457","34,938","31,128","29,449","9,149","33,823","39,795","25,887","13,204","33,097",AL,147.0,5108468,2.8775750381523384
Alaska,"493,892","4,932","7,466","6,146",239,32,95,447,367,843,795,"1,764","3,541","42,025","99,091","7,570","25,742",211,"43,218","6,569",14,"9,328","117,865","79,313","36,279","733,406","98,745","43,330","21,022","10,646","19,432","103,371","436,860","82,676","20,695","577,598","385,948","191,650","22,983","362,965","345,460","17,505","86,631","717,303","642,950","74,353","36,450","37,903","1,621",766,"1,206","2,751","6,015","5,486","4,186",530,"5,387","3,116","2,334","1,124","3,381",AK,53.0,733406,7.226556641205554
Arizona,"5,150,254","57,249","71,982","115,730","2,197","4,127","8,004","5,833","8,633","49,750","12,763","40,333","63,970","470,638","1,051,136","82,191","214,932","1,885","481,790","102,769","1,940","110,999","987,719","785,322","418,362","7,431,344","294,583","269,995","356,832","16,857","682,787","1,480,787","4,329,503","363,692","1,117,095","6,049,109","3,674,799","2,374,310","26,071","3,648,728","3,493,543","155,185","77,315","7,274,129","6,368,711","905,418","489,700","415,718","20,845","6,027","15,024","60,039","45,532","38,965","36,958","6,499","47,832","42,073","41,559","23,736","30,629",AZ,363.0,7431344,4.884715335476328
Arkansas,"2,078,254","32,080","42,999","36,848",363,974,"3,189","1,535","3,495","12,971","7,446","20,978","31,206","177,336","345,836","23,874","120,099",580,"140,363","28,364",370,"33,947","590,131","282,952","140,318","3,067,732","17,613","51,703","440,816","14,304","78,762","352,391","2,112,143","121,857","230,534","2,452,773","1,441,034","1,011,739","5,773","1,435,261","1,375,551","59,710","58,700","2,980,358","2,513,734","466,624","261,283","205,341","10,533","4,698","7,195","26,056","20,010","19,387","17,567","4,755","25,368","25,066","15,152","9,095","20,459",AR,112.0,3067732,3.6509056201780337
California,"26,969,649","269,377","334,480","761,302","28,375","62,079","129,472","75,566","122,275","592,852","92,674","234,261","387,915","2,116,930","6,137,666","530,548","680,708","12,016","2,704,650","980,819","10,771","737,461","4,824,474","3,511,524","1,631,454","38,965,193","546,952","6,146,851","2,103,789","150,781","7,619,295","7,398,273","14,999,252","1,952,440","5,445,833","31,584,340","20,298,562","11,285,778","161,140","20,137,422","19,026,566","1,110,856","95,521","38,249,686","33,660,999","4,588,687","2,497,758","2,090,929","118,068","39,710","76,600","245,580","230,227","249,227","204,170","31,246","229,786","217,611","180,207","110,801","157,696",CA,1143.0,38965193,2.9333872412745396
Colorado,"4,135,123","26,118","42,569","60,133",371,"1,483","3,762","3,644","5,619","25,130","4,473","16,285","28,358","340,844","1,170,106","86,363","155,149","1,947","549,490","57,473",479,"114,098","643,748","544,843","252,638","5,877,610","70,914","196,755","228,788","9,888","369,976","864,868","4,136,421","296,344","568,524","4,818,044","3,322,899","1,495,145","46,869","3,276,030","3,151,694","124,336","92,911","5,757,114","5,220,607","536,507","287,224","249,283","13,659","3,748","7,925","43,551","29,401","28,300","21,255","3,832","28,600","19,157","21,802","11,871","16,182",CO,294.0,5877610,5.002033139320234
Connecticut,"2,559,922","21,276","29,771","43,759",918,"1,402","3,983","3,482","6,801","16,522","5,955","16,455","21,851","199,198","591,246","54,650","83,713",165,"369,161","38,322",352,"83,258","569,896","257,154","140,632","3,617,176","12,371","176,018","393,031","4,221","305,312","392,322","2,333,901","134,960","257,362","2,987,218","1,983,295","1,003,923","8,427","1,974,868","1,884,125","90,743","91,665","3,521,952","3,159,928","362,024","202,067","159,957","10,803","3,360","5,063","17,754","14,303","18,339","14,084","1,864","22,996","14,937","14,240","10,796","11,418",CT,23.0,3617176,0.6358551533019129
Delaware,"731,427","7,551","10,069","14,121",35,409,"1,072","1,250",826,"2,776","1,029","5,473","7,281","60,161","153,565","14,981","26,795",902,"83,158","10,100",123,"14,998","181,365","87,142","46,245","1,031,890","5,247","44,464","232,161",287,"53,050","84,313","612,368","38,217","46,096","846,414","526,726","319,688","4,305","522,421","504,329","18,092","81,361","1,007,022","900,995","106,027","60,104","45,923","2,923",995,"1,283","6,592","3,735","4,554","2,813",745,"5,776","6,692","4,748","2,475","2,592",DE,17.0,1031890,1.6474624233203152
District of Columbia,"482,919","2,749","6,625","7,499",0,731,545,207,"1,568","1,766","2,685","1,793","2,288","12,270","129,951","24,809","13,635",29,"113,293","6,493",45,"50,404","49,639","36,951","16,944","678,972","1,636","28,224","277,432",724,"34,844","72,713","263,399","40,775","31,938","564,543","410,840","153,703","4,180","406,660","385,274","21,386","108,210","649,438","558,370","91,068","49,690","41,378","1,235",274,"1,798","6,266","5,757","2,330","3,502",513,"6,073","3,727","5,068","1,598","3,237",,,678972,
Florida,"16,421,870","188,268","202,932","374,770","6,877","13,276","29,064","23,970","32,459","112,950","40,631","112,818","158,186","1,653,669","3,550,180","247,557","700,398","2,667","1,515,795","295,072","7,568","420,362","3,703,759","1,949,508","1,079,134","22,610,726","98,013","679,873","3,362,187","15,841","1,543,159","4,368,819","12,542,834","809,700","3,559,119","18,768,460","11,267,928","7,500,532","76,784","11,191,144","10,731,195","459,949","73,311","22,139,460","19,409,941","2,729,519","1,486,703","1,242,816","62,773","24,096","43,553","124,761","122,963","132,111","116,350","19,136","143,728","123,166","130,072","102,039","98,068",FL,509.0,22610726,2.251143992457385
