"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","5,108,468","*****","733,406","*****","7,431,344","*****","3,067,732","*****","38,965,193","*****","5,877,610","*****","3,617,176","*****","1,031,890","*****","678,972","*****","22,610,726","*****","11,029,227","*****","1,435,138","*****","1,964,726","*****","12,549,689","*****","6,862,199","*****","3,207,004","*****","2,940,547","*****","4,526,154","*****","4,573,749","*****","1,395,722","*****","6,180,253","*****","7,001,399","*****","10,037,261","*****","5,737,915","*****","2,939,690","*****","6,196,156","*****","1,132,812","*****","1,978,379","*****","3,194,176","*****","1,402,054","*****","9,290,841","*****","2,114,371","*****","19,571,216","*****","10,835,491","*****","783,926","*****","11,785,935","*****","4,053,824","*****","4,233,358","*****","12,961,683","*****","1,095,962","*****","5,373,555","*****","919,318","*****","7,126,489","*****","30,503,301","*****","3,417,734","*****","647,464","*****","8,715,698","*****","7,812,880","*****","1,770,071","*****","5,910,955","*****","584,057","*****","3,205,691","*****"
"    White alone","3,303,941","±8,837","436,860","±4,325","4,329,503","±25,480","2,112,143","±11,846","14,999,252","±50,330","4,136,421","±19,081","2,333,901","±13,230","612,368","±3,909","263,399","±2,506","12,542,834","±40,148","5,548,872","±18,401","314,534","±3,137","1,605,148","±11,003","7,617,749","±23,481","5,260,706","±11,411","2,701,313","±7,324","2,231,934","±8,227","3,735,842","±7,785","2,594,078","±7,554","1,257,490","±5,338","2,957,430","±13,614","4,750,967","±19,956","7,405,801","±11,547","4,399,202","±9,045","1,635,244","±5,066","4,818,167","±10,956","958,655","±4,026","1,536,324","±7,036","1,591,101","±16,235","1,227,179","±6,050","4,967,669","±19,240","1,004,672","±13,633","10,781,005","±27,005","6,649,865","±15,788","647,059","±3,249","9,029,727","±13,404","2,620,590","±9,133","3,127,198","±12,119","9,594,136","±18,205","763,493","±6,377","3,415,285","±13,327","739,679","±3,768","5,149,760","±10,091","14,557,719","±59,040","2,685,747","±11,888","582,287","±3,159","5,214,732","±13,080","5,092,864","±17,519","1,594,084","±4,282","4,723,595","±10,409","492,128","±3,847","762,297","±19,398"
"    Black or African American alone","1,298,757","±9,743","21,022","±2,459","356,832","±11,618","440,816","±6,245","2,103,789","±22,262","228,788","±8,887","393,031","±10,043","232,161","±5,947","277,432","±6,534","3,362,187","±27,078","3,396,552","±19,762","24,101","±2,105","16,671","±2,010","1,671,959","±18,752","615,423","±10,528","128,881","±6,381","157,042","±5,282","337,882","±9,220","1,385,155","±12,064","24,800","±2,084","1,803,634","±13,468","492,587","±12,025","1,320,610","±12,942","412,927","±9,081","1,047,345","±11,173","668,809","±8,967","4,767","±1,024","90,106","±5,476","298,675","±9,864","21,445","±3,444","1,175,323","±12,509","42,385","±3,510","2,801,538","±26,493","2,183,004","±16,509","24,479","±2,631","1,407,391","±16,024","274,031","±7,290","87,406","±4,365","1,368,208","±15,761","59,714","±5,922","1,311,022","±12,443","22,730","±2,254","1,089,441","±11,611","3,761,423","±23,949","38,380","±4,337","7,843","±1,171","1,604,133","±12,446","315,904","±8,141","57,341","±4,214","350,052","±7,341","4,038","±1,192","169,924","±11,323"
"    American Indian and Alaska Native alone","24,491","±4,132","98,745","±4,687","294,583","±9,277","17,613","±2,708","546,952","±21,699","70,914","±8,003","12,371","±2,975","5,247","±2,901","1,636","±594","98,013","±11,979","51,935","±7,710","2,733","±934","21,606","±2,747","87,339","±9,989","23,479","±5,211","12,715","±2,537","24,017","±2,812","11,798","±2,823","37,468","±6,174","6,064","±1,328","33,544","±6,760","19,758","±4,429","50,606","±5,181","53,531","±4,026","15,229","±2,897","19,497","±2,544","63,693","±2,583","21,484","±3,244","43,557","±5,308","2,123","±795","77,807","±12,541","197,425","±6,106","131,671","±12,254","112,791","±5,793","34,505","±2,570","21,255","±4,124","292,095","±6,133","45,368","±4,588","30,714","±5,216","8,628","±3,403","22,700","±4,411","70,936","±2,936","24,046","±6,814","267,945","±17,789","36,787","±4,837","1,493","±613","32,770","±5,147","95,073","±6,527","1,778","±962","48,468","±3,797","14,337","±2,890","7,282","±2,511"
"    Asian alone","77,445","±3,150","43,330","±2,801","269,995","±6,692","51,703","±3,106","6,146,851","±21,851","196,755","±6,553","176,018","±4,282","44,464","±1,767","28,224","±1,330","679,873","±8,597","499,904","±6,794","526,684","±9,107","26,917","±2,292","756,661","±8,435","182,549","±5,346","75,806","±3,860","77,248","±3,206","64,323","±3,607","80,143","±3,528","15,878","±1,479","409,222","±5,101","515,613","±7,502","340,367","±5,714","298,422","±5,568","27,849","±2,808","128,330","±3,940","9,266","±1,102","48,781","±3,328","292,264","±7,402","36,003","±3,111","948,862","±7,456","38,718","±3,436","1,785,642","±16,504","361,232","±5,008","11,814","±1,261","302,758","±5,173","94,802","±3,093","194,391","±5,761","499,380","±5,894","37,419","±2,764","94,551","±3,945","13,999","±1,648","130,735","±4,391","1,733,933","±13,121","84,729","±4,531","11,202","±1,554","603,772","±7,636","780,684","±8,820","12,654","±1,112","179,101","±3,858","5,057","±1,136","4,480","±1,583"
"    Native Hawaiian and Other Pacific Islander alone","2,645","±1,300","10,646","±1,068","16,857","±2,385","14,304","±1,700","150,781","±7,340","9,888","±1,826","4,221","±3,347","287","±343","724","±553","15,841","±2,939","10,048","±3,785","135,541","±5,484","3,751","±1,314","5,852","±1,599","4,145","±2,000","4,425","±1,839","3,902","±2,135","2,569","±899","4,520","±2,565","732","±432","3,096","±1,888","3,155","±1,242","3,064","±1,446","3,677","±1,797","1,434","±1,209","10,004","±1,836","327","±259","430","±364","24,453","±3,309","231","±292","2,409","±1,007","3,406","±1,284","8,566","±2,095","5,332","±1,715","1,664","±1,334","5,172","±2,423","9,095","±3,284","15,476","±1,632","4,170","±1,697","307","±340","5,988","±3,499","299","±319","4,253","±2,111","43,245","±10,809","33,925","±3,475","229","±213","7,513","±3,903","57,334","±3,419","193","±177","2,173","±1,103","118","±145","426","±498"
"    Some Other Race alone","116,209","±8,593","19,432","±3,315","682,787","±27,766","78,762","±7,182","7,619,295","±84,065","369,976","±20,384","305,312","±15,769","53,050","±6,286","34,844","±6,458","1,543,159","±40,439","552,723","±22,413","26,638","±4,203","99,141","±9,849","1,019,976","±31,499","249,738","±13,040","74,956","±7,341","116,640","±8,489","75,335","±7,546","111,980","±11,792","8,555","±1,858","439,781","±22,087","446,541","±23,117","194,353","±10,594","161,982","±10,725","59,734","±6,643","108,692","±8,392","14,547","±2,887","102,439","±8,233","419,003","±18,069","17,190","±3,798","975,536","±28,883","275,715","±16,723","2,011,783","±41,504","619,020","±24,233","12,173","±2,995","217,018","±14,052","155,111","±9,522","215,724","±12,537","510,560","±23,235","78,512","±9,754","149,361","±10,711","15,338","±3,000","198,904","±14,646","3,030,208","±69,902","212,123","±12,685","6,904","±1,937","400,443","±19,782","446,776","±17,829","16,064","±3,060","158,628","±12,067","19,710","±3,519","1,024,568","±23,676"
"    Two or More Races:","284,980","±13,137","103,371","±6,701","1,480,787","±30,434","352,391","±13,924","7,398,273","±85,392","864,868","±21,428","392,322","±15,437","84,313","±8,417","72,713","±7,025","4,368,819","±46,148","969,193","±29,569","404,907","±10,846","191,492","±11,920","1,390,153","±32,786","526,159","±18,018","208,908","±13,070","329,764","±10,948","298,405","±12,243","360,405","±13,959","82,203","±6,445","533,546","±20,100","772,778","±30,343","722,460","±17,671","408,174","±13,667","152,855","±10,596","442,657","±17,234","81,557","±5,005","178,815","±8,842","525,123","±19,831","97,883","±6,933","1,143,235","±30,522","552,050","±16,858","2,051,011","±44,190","904,247","±27,315","52,232","±5,023","802,614","±22,157","608,100","±16,258","547,795","±15,398","954,515","±23,765","147,889","±11,276","374,648","±17,623","56,337","±5,199","529,350","±17,841","7,108,828","±76,335","326,043","±16,123","37,506","±3,434","852,335","±21,182","1,024,245","±22,405","87,957","±5,534","448,938","±14,888","48,669","±4,766","1,236,714","±23,099"
"        Two races including Some Other Race","126,153","±9,654","20,695","±4,021","1,117,095","±27,591","230,534","±12,989","5,445,833","±71,636","568,524","±18,934","257,362","±15,666","46,096","±6,393","31,938","±4,219","3,559,119","±39,765","515,938","±22,068","31,768","±4,534","120,832","±11,887","929,045","±25,219","262,451","±13,753","102,729","±8,963","184,716","±10,522","120,078","±8,998","193,074","±9,394","42,791","±5,480","251,494","±17,140","518,624","±23,657","345,811","±12,722","183,527","±10,633","48,075","±4,867","195,563","±11,578","34,243","±3,729","96,628","±6,866","311,146","±14,254","57,492","±5,756","841,749","±29,112","462,190","±16,813","1,390,155","±37,131","470,005","±20,178","21,688","±3,628","308,698","±14,282","219,240","±10,789","305,742","±13,258","512,641","±20,431","97,184","±11,717","174,623","±12,268","21,786","±3,538","273,674","±13,975","6,018,808","±73,090","197,018","±12,223","15,768","±2,703","429,609","±16,980","501,076","±17,366","31,939","±4,098","253,233","±10,920","27,934","±4,282","1,128,889","±21,805"
"        Two races excluding Some Other Race, and three or more races","158,827","±9,193","82,676","±5,857","363,692","±18,476","121,857","±6,878","1,952,440","±42,819","296,344","±13,276","134,960","±9,279","38,217","±5,115","40,775","±5,377","809,700","±25,740","453,255","±18,310","373,139","±10,111","70,660","±4,233","461,108","±20,670","263,708","±11,072","106,179","±8,719","145,048","±7,937","178,327","±9,771","167,331","±10,703","39,412","±2,917","282,052","±14,835","254,154","±14,662","376,649","±14,252","224,647","±10,430","104,780","±9,828","247,094","±10,766","47,314","±3,463","82,187","±5,658","213,977","±11,827","40,391","±4,266","301,486","±13,532","89,860","±7,572","660,856","±23,881","434,242","±17,505","30,544","±3,792","493,916","±18,952","388,860","±10,416","242,053","±9,989","441,874","±17,755","50,705","±6,337","200,025","±11,788","34,551","±3,925","255,676","±12,235","1,090,020","±30,624","129,025","±8,303","21,738","±2,058","422,726","±14,288","523,169","±13,556","56,018","±3,960","195,705","±9,044","20,735","±1,717","107,825","±9,682"
