"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","3,498,967","±5,738","493,892","±2,853","5,150,254","±2,687","2,078,254","±5,387","26,969,649","±5,809","4,135,123","±5,674","2,559,922","±2,215","731,427","±1,005","482,919","±762","16,421,870","±6,967","7,448,119","±9,816","1,024,897","±1,792","1,305,704","±3,096","8,710,996","±4,756","4,614,970","±5,153","2,166,425","±4,583","1,956,252","±4,446","3,107,275","±5,484","3,102,893","±6,098","1,039,460","±2,124","4,297,439","±4,414","4,975,152","±3,512","7,007,856","±5,142","3,941,575","±3,550","1,980,147","±5,003","4,255,810","±5,723","795,845","±2,172","1,307,246","±2,748","2,253,253","±2,963","1,030,965","±2,133","6,511,081","±3,251","1,471,057","±3,889","13,885,155","±4,341","7,487,552","±8,436","520,006","±3,342","8,172,692","±6,144","2,684,421","±3,320","3,050,675","±3,855","9,171,006","±4,403","786,493","±1,404","3,745,394","±5,470","615,517","±2,831","4,931,967","±7,016","20,029,447","±10,762","2,085,019","±2,488","471,255","±1,778","6,037,339","±6,635","5,511,197","±3,833","1,259,219","±3,169","4,116,216","±4,682","403,853","±2,329","2,407,254","±4,021"
"    No schooling completed","54,581","±3,894","6,569","±1,521","102,769","±8,850","28,364","±3,327","980,819","±18,196","57,473","±5,176","38,322","±3,779","10,100","±2,276","6,493","±1,322","295,072","±13,292","143,436","±7,465","14,852","±3,343","17,857","±2,352","178,443","±9,255","72,385","±4,485","25,895","±2,407","26,714","±2,878","42,504","±3,685","50,752","±4,421","6,701","±1,413","92,347","±6,562","96,446","±6,324","101,202","±6,042","59,980","±3,792","31,542","±3,146","47,995","±4,132","5,570","±1,530","23,891","±2,772","65,846","±6,218","5,320","±1,295","128,692","±7,472","30,909","±3,580","390,967","±13,719","111,400","±6,453","4,657","±1,139","100,173","±6,715","42,144","±3,135","44,264","±4,025","118,364","±7,212","19,886","±3,539","51,775","±4,556","7,832","±1,811","74,748","±6,204","566,713","±19,126","31,080","±3,970","2,717","±866","95,283","±7,166","88,591","±5,909","15,187","±2,333","44,867","±3,815","3,603","±1,101","45,942","±4,615"
"    Nursery school","1,073","±518","14","±36","1,940","±1,346","370","±300","10,771","±1,651","479","±379","352","±300","123","±116","45","±73","7,568","±1,747","2,128","±820","348","±460","68","±112","2,860","±847","897","±417","590","±506","484","±444","867","±560","767","±463","233","±222","1,482","±761","2,223","±835","664","±370","766","±475","307","±314","1,093","±511","196","±203","513","±318","1,221","±675","11","±18","2,257","±954","180","±202","6,317","±1,785","2,118","±1,134","0","±174","1,970","±685","565","±259","1,692","±1,084","2,561","±840","837","±707","440","±312","10","±18","1,813","±737","6,271","±1,814","443","±306","84","±106","1,940","±867","879","±562","518","±519","196","±142","89","±110","324","±223"
"    Kindergarten","191","±221","211","±222","1,885","±1,039","580","±438","12,016","±1,937","1,947","±1,420","165","±163","902","±802","29","±51","2,667","±959","705","±342","451","±588","370","±320","2,775","±1,312","482","±431","75","±96","174","±220","500","±267","483","±403","173","±180","1,135","±759","2,036","±907","1,388","±949","405","±284","226","±135","554","±311","174","±213","86","±107","1,124","±815","281","±287","2,919","±1,158","552","±378","4,721","±1,212","2,602","±1,269","0","±174","1,495","±588","465","±319","734","±501","1,804","±782","0","±246","1,445","±1,075","156","±241","1,760","±982","6,373","±1,639","315","±279","30","±48","1,258","±574","961","±481","118","±145","191","±110","61","±103","48","±82"
"    1st grade","714","±557","239","±232","2,197","±981","363","±295","28,375","±3,308","371","±221","918","±704","35","±61","0","±244","6,877","±1,705","3,191","±1,249","231","±206","273","±291","2,965","±1,380","989","±685","409","±291","584","±504","1,031","±566","429","±284","113","±196","2,298","±1,374","2,198","±976","947","±540","79","±90","578","±340","985","±704","0","±182","699","±467","624","±422","86","±108","2,895","±999","193","±238","7,132","±1,777","2,642","±1,037","0","±174","673","±479","552","±288","1,467","±921","1,760","±707","0","±246","1,394","±722","465","±597","866","±406","14,172","±2,268","270","±300","0","±170","2,481","±1,308","888","±567","259","±236","841","±402","352","±342","6,816","±1,299"
"    2nd grade","667","±424","32","±47","4,127","±1,411","974","±497","62,079","±4,566","1,483","±803","1,402","±888","409","±290","731","±791","13,276","±2,589","5,925","±1,233","95","±85","612","±418","5,697","±1,374","1,472","±594","982","±645","1,108","±564","1,561","±885","1,085","±576","154","±252","1,231","±657","7,195","±2,038","918","±457","748","±462","509","±414","149","±135","70","±105","998","±397","1,440","±558","27","±47","5,385","±1,512","1,816","±903","13,788","±2,760","5,278","±1,387","0","±174","2,087","±1,008","2,543","±916","1,859","±927","2,647","±1,228","1,034","±687","2,132","±965","505","±661","2,107","±941","36,439","±4,638","1,382","±802","64","±107","4,347","±1,590","3,543","±1,651","153","±178","1,966","±754","110","±146","12,052","±1,710"
"    3rd grade","2,895","±1,050","95","±64","8,004","±1,856","3,189","±1,240","129,472","±6,921","3,762","±1,261","3,983","±1,414","1,072","±610","545","±478","29,064","±3,932","9,824","±2,491","1,043","±591","1,398","±652","14,730","±2,615","2,773","±1,205","2,488","±984","2,587","±949","2,590","±994","3,813","±1,247","441","±416","5,165","±1,787","8,652","±1,919","2,691","±793","2,246","±1,095","2,186","±967","2,009","±729","374","±481","1,815","±863","4,082","±1,281","169","±179","8,610","±2,048","3,942","±1,092","28,490","±3,849","11,890","±2,223","5","±11","3,552","±928","3,210","±729","4,328","±1,314","4,419","±1,394","1,753","±840","4,120","±1,214","350","±371","8,521","±2,165","66,812","±5,924","1,841","±746","91","±55","6,363","±1,672","6,537","±1,548","1,011","±651","1,748","±587","0","±208","21,484","±2,491"
"    4th grade","2,444","±1,314","447","±366","5,833","±1,547","1,535","±761","75,566","±5,962","3,644","±1,049","3,482","±1,248","1,250","±739","207","±214","23,970","±3,289","7,762","±1,856","110","±100","1,168","±460","6,958","±1,678","2,164","±699","1,868","±906","1,751","±783","2,685","±1,131","4,004","±1,494","171","±105","4,792","±1,738","12,501","±2,395","4,371","±1,159","1,619","±754","1,684","±731","1,616","±717","235","±184","1,588","±794","3,059","±1,210","672","±696","16,715","±3,224","3,207","±1,136","25,311","±3,754","4,303","±1,177","66","±13","2,812","±1,128","3,072","±999","2,836","±836","5,103","±1,481","2,529","±823","3,805","±1,142","101","±113","4,136","±1,253","43,804","±4,477","540","±333","0","±170","4,499","±1,226","4,537","±1,402","561","±495","1,609","±684","87","±133","26,638","±2,940"
"    5th grade","2,260","±801","367","±289","8,633","±2,031","3,495","±1,126","122,275","±6,936","5,619","±1,492","6,801","±1,577","826","±569","1,568","±810","32,459","±4,098","16,584","±2,978","720","±418","1,291","±621","13,678","±2,571","3,097","±912","2,111","±849","3,022","±882","3,523","±1,004","6,767","±1,285","297","±339","7,342","±1,854","12,728","±2,717","7,870","±1,556","3,445","±915","3,184","±1,038","2,887","±1,210","333","±243","1,670","±785","4,721","±1,407","544","±391","18,035","±2,692","4,536","±1,113","48,466","±4,821","13,087","±2,769","0","±174","3,996","±1,378","2,385","±580","4,499","±1,964","9,754","±2,026","675","±355","5,414","±1,389","96","±98","7,310","±1,734","71,626","±5,054","2,034","±899","49","±33","8,582","±1,764","9,278","±2,503","1,582","±644","4,914","±1,491","46","±26","24,581","±2,602"
"    6th grade","12,592","±2,254","843","±375","49,750","±4,866","12,971","±2,295","592,852","±16,561","25,130","±3,620","16,522","±3,367","2,776","±1,068","1,766","±1,333","112,950","±8,009","49,269","±5,037","6,347","±1,295","6,456","±1,348","80,527","±5,944","16,646","±2,974","4,748","±1,370","9,485","±2,028","8,132","±1,486","16,847","±2,373","973","±542","25,319","±3,905","22,450","±2,789","18,213","±2,739","7,717","±1,558","6,806","±1,303","7,096","±1,659","777","±627","8,508","±1,856","23,630","±2,863","1,108","±670","52,107","±5,514","22,296","±2,700","108,458","±6,579","45,412","±4,761","443","±410","12,749","±2,266","19,038","±1,992","18,603","±2,830","21,986","±4,004","4,876","±1,821","17,667","±2,891","305","±226","21,323","±2,884","317,371","±13,309","12,077","±2,695","351","±143","30,863","±4,265","35,160","±3,521","2,034","±831","12,757","±2,403","1,364","±835","51,912","±4,177"
"    7th grade","11,747","±1,676","795","±408","12,763","±2,231","7,446","±1,430","92,674","±5,082","4,473","±1,577","5,955","±1,770","1,029","±538","2,685","±1,812","40,631","±4,442","20,613","±2,247","2,073","±673","2,430","±989","14,247","±2,251","9,270","±1,895","2,436","±690","2,016","±732","12,346","±1,843","14,822","±2,193","1,032","±427","11,782","±2,413","14,217","±2,736","7,233","±1,450","3,078","±937","9,355","±1,723","7,348","±1,422","960","±462","2,227","±731","6,432","±1,666","3,079","±1,156","16,433","±2,607","4,149","±1,236","43,143","±3,956","23,089","±2,898","122","±100","11,428","±2,237","6,939","±1,083","4,044","±1,220","16,014","±2,761","1,214","±829","12,771","±2,272","615","±472","14,018","±2,220","88,614","±5,893","4,469","±1,629","680","±485","15,353","±1,678","7,260","±1,433","5,483","±1,357","3,498","±912","371","±236","32,438","±3,858"
"    8th grade","32,466","±3,150","1,764","±394","40,333","±3,889","20,978","±2,619","234,261","±11,027","16,285","±3,110","16,455","±2,720","5,473","±1,342","1,793","±993","112,818","±7,038","58,125","±4,112","3,075","±1,177","6,928","±1,496","65,558","±4,674","56,442","±4,835","20,731","±2,684","16,640","±2,291","51,984","±4,228","32,599","±3,399","8,416","±1,483","22,845","±2,906","36,035","±4,496","39,421","±3,347","18,955","±2,851","24,840","±3,054","40,967","±3,171","5,448","±1,046","6,275","±1,096","11,147","±2,338","5,928","±1,928","54,910","±4,645","12,844","±1,901","135,251","±7,072","57,475","±4,564","5,156","±1,162","76,648","±4,733","22,864","±2,003","12,393","±2,429","73,350","±5,481","8,783","±2,246","23,344","±2,725","4,987","±826","54,109","±4,438","197,725","±9,549","6,935","±1,605","2,872","±735","42,212","±3,835","20,409","±2,922","14,619","±2,138","25,922","±1,980","2,325","±756","45,922","±4,220"
"    9th grade","46,093","±4,261","3,541","±1,093","63,970","±5,123","31,206","±3,492","387,915","±12,763","28,358","±3,294","21,851","±3,411","7,281","±1,514","2,288","±1,278","158,186","±9,532","96,716","±6,263","5,716","±1,447","10,272","±1,880","63,535","±5,065","46,712","±4,033","12,348","±1,891","17,494","±2,140","40,311","±3,174","48,226","±4,644","6,790","±1,068","37,804","±4,373","41,080","±4,847","50,429","±4,418","16,983","±1,943","29,877","±3,314","33,536","±3,436","5,281","±1,315","7,493","±1,325","22,622","±3,212","7,498","±1,896","41,358","±3,775","23,525","±3,511","142,756","±8,950","92,772","±6,187","2,630","±637","62,707","±5,029","32,786","±2,122","27,483","±3,664","75,066","±5,030","8,716","±1,842","40,791","±3,783","2,391","±755","57,135","±5,321","341,763","±13,155","14,018","±2,603","2,237","±905","51,644","±4,873","39,103","±4,183","21,334","±2,670","18,010","±2,201","1,552","±533","71,404","±4,818"
"    10th grade","67,401","±5,066","4,932","±942","57,249","±4,284","32,080","±3,028","269,377","±11,465","26,118","±3,020","21,276","±2,662","7,551","±1,479","2,749","±1,389","188,268","±8,316","115,913","±6,275","8,851","±1,707","13,528","±2,054","85,402","±5,742","70,032","±4,779","19,404","±2,103","21,282","±2,422","57,678","±4,206","65,442","±5,417","8,651","±1,326","44,629","±3,867","43,796","±3,969","91,676","±5,263","24,105","±2,057","42,872","±3,993","64,882","±4,449","6,832","±1,015","9,451","±1,282","24,078","±3,366","9,193","±1,758","53,909","±4,721","21,887","±3,148","162,577","±8,889","111,314","±6,848","4,280","±1,127","105,606","±5,111","42,151","±2,492","29,945","±3,473","110,152","±5,912","10,366","±2,242","62,779","±5,264","6,325","±1,295","69,931","±4,980","259,479","±10,942","15,957","±2,333","3,657","±872","78,382","±5,803","44,639","±3,825","28,351","±3,188","33,467","±2,893","4,065","±1,263","30,862","±3,762"
"    11th grade","76,400","±5,678","7,466","±1,232","71,982","±4,368","42,999","±3,826","334,480","±10,858","42,569","±5,240","29,771","±3,945","10,069","±1,706","6,625","±2,294","202,932","±9,688","117,459","±6,930","8,945","±1,654","15,623","±2,370","116,112","±5,463","73,283","±4,554","21,140","±2,353","25,635","±2,683","56,047","±3,917","77,429","±5,784","7,077","±1,180","38,631","±3,468","46,015","±4,712","106,832","±6,900","33,839","±3,263","47,471","±3,537","64,608","±4,165","8,943","±1,418","12,970","±1,800","31,341","±3,486","13,245","±2,087","70,111","±6,032","25,803","±3,121","177,772","±9,516","105,374","±6,864","4,837","±1,172","137,764","±7,523","51,228","±3,333","32,885","±3,327","125,673","±7,360","9,344","±1,941","65,736","±5,586","9,249","±1,589","86,898","±6,752","301,631","±10,555","18,695","±2,133","4,664","±1,124","76,836","±4,932","57,848","±5,080","27,664","±2,599","45,314","±3,061","5,633","±1,426","47,208","±4,237"
"    12th grade, no diploma","68,378","±4,670","6,146","±1,238","115,730","±8,095","36,848","±3,394","761,302","±18,694","60,133","±5,376","43,759","±4,059","14,121","±2,258","7,499","±1,866","374,770","±12,496","146,686","±7,312","18,973","±2,226","24,097","±2,632","169,501","±6,862","84,375","±5,272","30,263","±3,027","33,754","±3,000","43,249","±3,642","54,752","±4,374","11,685","±1,864","83,178","±5,277","80,763","±5,588","124,522","±6,927","49,858","±3,886","40,992","±3,522","64,086","±4,434","9,157","±1,430","17,886","±2,583","74,937","±5,442","10,835","±1,560","133,187","±7,395","28,061","±3,331","325,646","±12,745","117,100","±6,206","6,221","±1,285","140,082","±6,910","47,175","±3,073","57,668","±4,245","147,318","±7,428","12,037","±2,359","73,309","±5,662","6,903","±1,363","81,965","±4,668","417,748","±15,002","34,163","±3,534","3,694","±755","96,424","±6,141","101,358","±6,881","19,847","±2,532","65,622","±3,737","4,886","±1,275","15,317","±2,220"
"    Regular high school diploma","872,733","±16,239","117,865","±5,356","987,719","±16,715","590,131","±10,389","4,824,474","±41,980","643,748","±13,943","569,896","±13,492","181,365","±7,261","49,639","±4,713","3,703,759","±38,722","1,606,246","±24,141","240,098","±8,328","275,278","±8,815","1,865,699","±23,353","1,243,069","±18,483","557,619","±10,644","410,216","±10,551","824,417","±14,581","851,396","±14,884","256,986","±8,071","895,963","±17,086","989,741","±17,091","1,657,737","±18,951","799,821","±10,925","458,180","±9,835","1,064,546","±14,636","183,632","±7,284","280,521","±7,555","509,968","±12,872","233,302","±8,238","1,468,077","±20,993","298,709","±9,958","2,789,189","±29,212","1,522,804","±19,261","108,220","±4,318","2,285,512","±23,523","677,295","±10,944","531,792","±12,868","2,682,917","±24,742","171,864","±7,262","889,939","±18,647","143,016","±4,824","1,271,513","±18,461","3,977,707","±40,365","395,800","±9,819","111,732","±4,360","1,212,069","±20,600","975,923","±15,696","419,426","±11,298","1,067,178","±14,109","89,085","±4,530","589,583","±13,408"
"    GED or alternative credential","179,821","±7,403","25,742","±2,462","214,932","±9,876","120,099","±6,432","680,708","±14,386","155,149","±7,090","83,713","±5,242","26,795","±3,459","13,635","±2,539","700,398","±17,980","349,541","±10,588","29,371","±2,717","63,338","±4,252","338,316","±11,432","240,970","±8,576","90,991","±4,763","80,439","±4,862","201,960","±7,772","174,905","±7,831","48,248","±3,537","129,416","±7,967","145,268","±6,222","284,185","±8,116","119,857","±5,827","124,127","±6,374","186,068","±6,219","39,112","±3,154","43,619","±3,463","95,005","±5,256","45,480","±3,883","170,745","±8,097","70,744","±4,548","577,461","±13,022","308,910","±10,147","18,361","±2,472","312,475","±8,903","143,269","±5,528","140,911","±5,373","351,153","±11,055","35,686","±4,028","166,159","±7,811","27,289","±2,763","257,988","±6,718","875,038","±17,883","66,160","±5,092","15,896","±1,943","240,009","±7,406","212,750","±8,101","80,694","±5,104","145,538","±6,018","21,949","±2,771","64,425","±4,755"
"    Some college, less than 1 year","237,594","±8,450","36,279","±3,356","418,362","±14,692","140,318","±6,347","1,631,454","±24,274","252,638","±8,925","140,632","±6,878","46,245","±4,410","16,944","±2,916","1,079,134","±20,943","468,913","±13,052","62,831","±3,907","110,065","±5,940","607,169","±12,091","323,808","±8,480","162,511","±6,243","152,385","±5,644","211,468","±7,322","197,358","±8,916","64,773","±4,707","256,754","±9,946","237,395","±7,884","546,395","±11,202","256,820","±7,320","145,675","±5,750","317,187","±8,946","51,222","±3,277","104,046","±4,593","181,703","±7,544","64,641","±3,901","343,103","±10,070","99,063","±5,181","690,465","±14,274","487,350","±14,623","36,970","±3,112","576,202","±13,061","210,590","±6,255","241,658","±8,118","507,641","±11,623","47,651","±4,217","248,038","±9,451","39,671","±3,967","323,365","±10,236","1,328,940","±21,277","165,198","±6,372","25,606","±2,380","361,307","±11,420","399,376","±13,642","73,403","±4,570","276,650","±7,628","35,354","±3,366","39,134","±3,876"
"    Some college, 1 or more years, no degree","496,329","±12,660","79,313","±4,386","785,322","±16,709","282,952","±9,402","3,511,524","±36,452","544,843","±14,681","257,154","±9,816","87,142","±6,211","36,951","±4,561","1,949,508","±31,115","972,428","±18,384","129,173","±5,805","211,028","±7,726","1,037,813","±16,825","548,062","±12,620","261,354","±8,290","267,579","±7,765","394,672","±11,333","429,717","±11,300","122,508","±5,725","453,874","±12,641","435,088","±11,927","994,014","±18,968","497,241","±9,022","282,311","±8,509","565,416","±13,076","118,877","±4,836","172,888","±6,326","345,567","±10,657","109,031","±6,169","630,374","±15,148","219,045","±7,631","1,314,638","±21,619","953,515","±17,380","81,820","±4,458","968,399","±16,124","383,598","±9,178","458,780","±13,105","854,416","±14,773","82,066","±5,842","483,050","±13,832","86,088","±4,546","634,078","±14,054","2,639,817","±31,409","311,775","±8,793","49,457","±3,747","683,612","±13,937","732,131","±16,913","137,228","±5,644","513,924","±11,043","63,174","±3,607","240,421","±8,532"
"    Associate's degree","321,748","±10,016","42,025","±3,040","470,638","±14,207","177,336","±7,889","2,116,930","±22,120","340,844","±11,033","199,198","±8,401","60,161","±4,547","12,270","±2,190","1,653,669","±23,086","618,860","±15,918","112,385","±5,426","123,937","±5,780","704,637","±14,761","423,644","±11,446","264,962","±7,143","182,190","±6,793","284,485","±10,269","233,782","±8,320","109,495","±5,272","301,452","±11,177","362,116","±11,130","677,286","±11,690","467,807","±9,971","221,753","±7,688","368,798","±10,428","83,117","±4,783","148,822","±5,178","197,555","±8,665","100,414","±4,463","440,974","±14,169","134,035","±6,405","1,249,700","±21,278","754,196","±16,007","71,744","±4,053","748,317","±14,614","221,742","±6,896","284,196","±8,752","817,565","±14,783","60,077","±5,008","358,438","±12,404","74,196","±3,614","395,771","±9,762","1,612,998","±26,822","201,491","±7,691","41,567","±2,857","462,513","±11,909","540,688","±13,148","107,668","±4,572","462,605","±9,348","46,871","±3,654","299,624","±10,415"
"    Bachelor's degree","616,025","±13,028","99,091","±5,225","1,051,136","±16,319","345,836","±11,129","6,137,666","±34,253","1,170,106","±19,044","591,246","±11,765","153,565","±7,503","129,951","±6,402","3,550,180","±34,887","1,585,916","±23,748","237,228","±7,120","281,799","±7,593","1,983,481","±20,624","882,311","±12,093","452,714","±10,331","438,965","±9,289","506,856","±13,123","525,591","±13,916","241,654","±7,358","964,064","±17,726","1,261,847","±17,516","1,395,186","±19,413","1,022,673","±12,926","307,215","±7,924","860,267","±13,238","180,347","±7,315","298,782","±8,515","421,005","±11,662","253,142","±8,411","1,712,683","±21,285","257,431","±8,386","3,136,170","±28,722","1,718,641","±19,739","121,205","±6,019","1,578,402","±17,917","498,843","±10,174","715,933","±13,182","1,921,489","±22,965","182,054","±6,496","765,869","±15,777","141,083","±4,708","952,495","±15,550","4,324,866","±37,787","513,565","±10,884","118,611","±4,794","1,446,760","±19,453","1,340,967","±16,874","182,741","±7,344","914,463","±12,408","77,762","±5,005","524,456","±14,043"
"    Master's degree","284,788","±10,737","43,218","±3,680","481,790","±11,889","140,363","±6,753","2,704,650","±28,786","549,490","±12,438","369,161","±10,812","83,158","±4,936","113,293","±5,486","1,515,795","±28,232","749,619","±15,350","93,842","±4,743","96,952","±4,315","990,218","±16,579","376,078","±10,461","160,651","±6,201","198,335","±6,048","256,223","±8,969","209,154","±8,544","101,942","±5,191","647,621","±14,703","788,243","±14,073","666,196","±12,010","388,506","±8,424","142,556","±7,254","398,623","±10,489","65,181","±3,823","113,876","±4,928","158,640","±7,889","123,644","±6,274","835,978","±15,436","141,795","±6,359","1,815,030","±24,520","752,751","±16,318","38,274","±3,711","762,453","±15,018","191,800","±6,012","301,246","±8,403","938,026","±16,020","88,869","±5,631","348,125","±11,393","40,915","±3,173","431,782","±12,262","1,864,054","±22,403","211,283","±7,827","65,535","±3,302","817,525","±14,473","651,033","±12,789","86,518","±4,580","346,266","±8,863","31,467","±3,158","149,538","±6,865"
"    Professional school degree","64,530","±4,242","9,328","±1,560","110,999","±7,181","33,947","±2,925","737,461","±18,175","114,098","±6,459","83,258","±4,416","14,998","±1,767","50,404","±3,574","420,362","±15,022","182,576","±7,578","31,833","±2,462","20,652","±2,318","221,049","±9,840","73,025","±4,671","35,657","±2,784","37,539","±3,475","67,687","±4,464","61,069","±4,227","24,218","±2,317","135,906","±6,445","157,762","±6,856","131,314","±5,504","94,854","±4,443","31,355","±2,893","90,881","±5,175","17,822","±2,212","29,264","±2,573","40,980","±3,237","24,410","±2,656","183,006","±8,370","28,465","±2,524","442,796","±12,819","156,768","±6,956","7,181","±1,301","159,121","±7,151","47,643","±3,772","67,607","±4,038","210,802","±7,719","19,063","±2,185","69,137","±4,777","13,109","±2,002","99,210","±5,309","386,035","±12,088","41,545","±3,263","12,197","±1,560","168,678","±7,126","131,590","±7,698","16,940","±2,096","69,705","±3,514","8,068","±1,820","32,380","±3,574"
