"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","4,960,839","±3,969","717,303","±801","7,274,129","±4,225","2,980,358","±1,994","38,249,686","±8,492","5,757,114","±4,079","3,521,952","±2,326","1,007,022","±1,267","649,438","±567","22,139,460","±6,333","10,765,238","±4,549","1,398,532","±2,507","1,915,282","±1,223","12,268,020","±4,681","6,672,209","±3,934","3,108,670","±2,176","2,854,559","±2,212","4,402,485","±3,095","4,448,119","±2,711","1,355,422","±889","6,048,665","±6,165","6,780,372","±2,619","9,827,315","±3,935","5,617,947","±2,228","2,841,691","±2,529","6,025,993","±3,580","1,107,806","±843","1,931,461","±1,141","3,154,850","±2,511","1,362,544","±1,284","9,131,628","±3,572","2,075,116","±1,843","19,068,409","±9,163","10,549,944","±4,174","755,048","±1,286","11,479,820","±5,193","3,932,800","±1,671","4,159,215","±2,182","12,535,767","±4,423","1,055,352","±1,616","5,231,370","±3,585","890,853","±963","6,969,478","±4,678","29,889,559","±6,743","3,363,147","±2,596","624,370","±894","8,472,782","±4,516","7,678,825","±4,390","1,716,152","±2,038","5,781,514","±2,329","571,028","±610","3,177,647","±1,580"
"    Income in the past 12 months below poverty level:","773,166","±24,550","74,353","±5,930","905,418","±32,734","466,624","±19,172","4,588,687","±71,646","536,507","±22,964","362,024","±17,748","106,027","±10,289","91,068","±10,115","2,729,519","±62,129","1,461,317","±38,018","141,925","±10,218","193,635","±12,891","1,426,517","±30,335","821,401","±24,875","351,224","±14,199","319,652","±14,831","720,642","±20,801","840,146","±27,162","140,460","±8,588","574,160","±20,592","706,730","±24,578","1,326,740","±27,989","520,602","±17,281","512,184","±21,949","720,210","±24,684","129,804","±7,386","202,078","±12,736","377,506","±20,633","97,935","±8,712","886,772","±27,839","368,669","±18,140","2,702,955","±50,606","1,349,302","±38,975","73,841","±5,342","1,527,904","±36,156","626,185","±15,929","506,544","±17,185","1,500,959","±35,821","114,412","±10,758","726,799","±24,733","104,684","±8,555","978,460","±30,784","4,086,851","±75,298","304,249","±15,931","60,413","±4,904","864,394","±26,897","794,426","±26,113","285,780","±11,676","616,874","±19,150","64,309","±6,371","1,257,607","±26,856"
"        Male:","330,855","±11,914","37,903","±3,578","415,718","±18,226","205,341","±11,617","2,090,929","±35,510","249,283","±12,383","159,957","±9,773","45,923","±5,230","41,378","±6,125","1,242,816","±31,425","642,525","±21,452","67,072","±5,912","87,081","±6,616","636,383","±17,111","356,011","±13,724","157,073","±7,453","143,341","±7,819","312,865","±11,231","354,544","±14,009","61,338","±3,875","247,600","±12,897","308,054","±13,378","598,308","±16,611","234,273","±9,150","222,922","±13,546","322,996","±12,519","57,696","±4,464","94,867","±6,744","175,561","±11,456","41,893","±4,693","383,933","±16,644","166,983","±9,150","1,193,520","±27,311","592,666","±20,856","31,427","±3,481","668,363","±18,923","280,227","±9,196","234,317","±9,614","661,665","±19,656","45,637","±5,426","312,178","±13,280","48,404","±5,001","427,664","±15,841","1,819,660","±42,245","146,894","±8,554","28,443","±2,784","372,447","±13,252","352,062","±15,744","126,158","±6,634","282,434","±10,070","28,278","±3,011","558,822","±15,029"
"            Under 5 years","33,097","±3,886","3,381","±912","30,629","±3,425","20,459","±3,401","157,696","±8,794","16,182","±3,212","11,418","±2,390","2,592","±1,147","3,237","±1,594","98,068","±7,984","64,326","±5,652","3,804","±918","8,513","±1,718","49,644","±4,133","37,198","±3,732","12,556","±2,000","12,132","±1,870","32,159","±3,382","38,730","±4,461","4,333","±985","20,648","±3,466","20,856","±3,196","46,525","±4,646","17,857","±2,470","18,589","±2,806","29,555","±3,215","3,273","±947","8,257","±1,928","18,301","±3,465","2,226","±919","32,781","±3,970","14,792","±2,377","94,736","±7,460","55,474","±4,554","1,466","±669","59,288","±5,024","26,965","±2,479","13,656","±2,149","59,117","±6,014","3,379","±1,263","26,010","±3,659","4,797","±1,308","38,701","±4,825","181,536","±9,430","11,943","±2,062","1,279","±569","26,424","±3,493","28,195","±4,081","9,615","±1,892","20,645","±2,771","2,670","±917","26,696","±2,428"
"            5 years","9,149","±2,108","530","±184","6,499","±1,841","4,755","±1,120","31,246","±3,651","3,832","±1,390","1,864","±923","745","±561","513","±538","19,136","±3,222","14,343","±2,364","632","±404","1,533","±823","10,694","±2,050","5,605","±1,168","2,582","±827","1,788","±750","5,705","±1,225","8,499","±2,361","618","±332","3,377","±1,127","4,673","±1,397","9,436","±1,560","3,761","±1,123","3,678","±1,253","6,550","±1,684","591","±291","2,020","±822","3,740","±1,181","171","±156","11,352","±2,276","3,063","±1,245","21,707","±2,973","11,098","±1,855","552","±332","10,519","±2,216","4,834","±874","3,259","±1,026","12,030","±2,473","463","±451","5,651","±1,546","899","±460","10,584","±2,274","34,665","±4,236","1,758","±675","94","±114","7,025","±1,707","5,747","±1,864","3,033","±1,351","6,134","±1,523","147","±164","8,246","±1,861"
"            6 to 11 years","39,795","±4,635","3,116","±851","42,073","±4,727","25,066","±3,496","217,611","±10,454","19,157","±3,126","14,937","±2,374","6,692","±2,018","3,727","±1,851","123,166","±9,461","81,445","±5,849","5,012","±1,361","9,275","±1,819","66,886","±6,023","40,713","±4,139","15,150","±2,316","14,742","±2,256","35,734","±3,803","44,888","±4,533","4,997","±1,541","24,036","±3,339","28,018","±3,667","66,324","±5,040","20,341","±2,649","27,852","±4,519","32,263","±4,558","4,275","±889","9,054","±1,916","16,730","±2,923","2,935","±1,037","40,564","±4,415","18,958","±2,918","123,735","±6,972","69,465","±6,066","2,637","±1,104","76,253","±6,610","37,395","±2,917","17,589","±2,683","71,852","±7,153","4,606","±1,623","38,335","±4,473","5,879","±1,742","52,777","±4,942","242,695","±12,646","17,763","±2,536","2,032","±685","40,823","±4,413","34,434","±3,728","11,300","±1,918","30,980","±3,729","3,290","±1,056","48,995","±3,595"
"            12 to 14 years","17,909","±2,778","1,621","±570","20,845","±2,694","10,533","±2,141","118,068","±8,142","13,659","±2,978","10,803","±2,330","2,923","±1,186","1,235","±1,053","62,773","±5,674","43,985","±4,308","2,681","±870","3,892","±1,020","34,053","±4,296","18,897","±2,776","9,079","±1,755","7,101","±1,524","16,949","±2,495","20,897","±3,162","2,821","±825","12,453","±2,807","16,156","±2,413","29,770","±3,092","12,880","±2,423","12,763","±2,525","15,118","±2,152","2,355","±953","4,061","±1,094","9,021","±1,958","1,617","±749","26,587","±4,135","10,422","±2,091","58,074","±4,944","37,161","±4,033","1,032","±390","39,013","±4,939","17,128","±1,963","12,388","±2,287","35,399","±4,617","796","±627","18,421","±2,782","3,276","±1,057","23,998","±3,410","118,646","±9,404","7,554","±1,832","1,244","±598","19,399","±2,495","16,372","±2,653","5,975","±1,397","12,196","±2,040","2,159","±761","25,521","±2,959"
"            15 years","7,751","±1,691","766","±568","6,027","±1,152","4,698","±1,298","39,710","±3,715","3,748","±846","3,360","±1,142","995","±563","274","±418","24,096","±3,528","11,291","±2,019","959","±626","880","±343","10,102","±1,893","5,581","±1,405","3,412","±868","3,922","±1,534","5,324","±1,352","6,565","±1,562","850","±437","2,923","±880","4,747","±1,328","12,256","±2,033","3,260","±968","4,468","±1,261","5,917","±1,078","1,106","±492","1,369","±648","2,843","±1,015","524","±384","8,925","±1,831","2,715","±920","22,790","±2,989","15,834","±2,449","1,046","±684","13,481","±2,409","5,755","±989","3,835","±1,153","11,371","±1,905","768","±641","7,265","±1,786","1,017","±493","9,805","±1,994","41,540","±3,862","3,419","±1,126","425","±289","6,248","±1,431","6,392","±1,432","1,457","±638","4,129","±998","710","±529","11,183","±2,065"
"            16 and 17 years","12,268","±2,390","1,206","±498","15,024","±2,619","7,195","±1,715","76,600","±5,702","7,925","±1,775","5,063","±1,692","1,283","±646","1,798","±1,136","43,553","±5,649","26,952","±3,160","2,266","±696","2,442","±690","23,466","±2,917","13,857","±2,528","5,890","±1,147","5,678","±1,660","9,972","±1,623","11,958","±2,185","2,302","±769","5,036","±1,172","10,649","±1,888","19,039","±2,415","6,621","±1,157","10,172","±2,047","11,640","±1,678","1,331","±560","3,197","±1,052","6,600","±1,730","1,308","±716","13,505","±2,281","7,049","±1,752","39,533","±4,100","21,603","±2,909","226","±146","24,705","±2,325","9,023","±1,326","5,694","±1,331","21,725","±2,883","1,659","±933","12,473","±2,098","1,462","±704","15,314","±2,501","71,643","±5,476","4,259","±1,231","564","±334","12,347","±2,266","10,674","±1,854","3,727","±1,109","9,689","±1,586","900","±509","17,946","±2,186"
"            18 to 24 years","42,457","±3,762","2,751","±963","60,039","±5,080","26,056","±3,630","245,580","±10,278","43,551","±4,385","17,754","±3,148","6,592","±1,416","6,266","±1,502","124,761","±8,038","75,692","±6,941","8,711","±1,917","12,942","±2,265","82,958","±5,383","48,353","±4,536","28,372","±3,249","23,473","±2,945","34,143","±3,349","41,732","±4,201","6,064","±1,286","32,991","±4,691","39,500","±3,808","77,943","±5,830","36,160","±3,917","27,743","±3,572","43,027","±4,559","10,435","±2,051","17,608","±3,176","16,808","±2,625","4,586","±1,782","36,863","±3,285","20,290","±3,224","128,286","±8,325","73,579","±6,008","6,593","±1,657","83,387","±6,400","34,436","±3,191","29,574","±3,221","73,773","±5,083","4,273","±1,063","38,839","±4,726","5,997","±1,462","46,894","±4,906","227,577","±10,055","31,016","±4,166","4,299","±1,177","48,662","±3,794","44,786","±4,344","15,935","±2,195","41,818","±4,068","3,315","±1,125","54,834","±4,832"
